city,count
Pan India,668
Bangalore,536
Hyderabad,234
Chennai,140
Mumbai,113
Pune,103
Ghaziabad,74
Unknown,45
Remote,37
Gurugram,27
Kolkata,22
Ahmedabad,20
Navi Mumbai,16
Ernakulam,10
Jaipur,9
New Delhi,7
Vadodara,6
Visakhapatnam,5
Coimbatore,5
Surat,5
Thiruvananthapuram,4
Mysore,4
Lucknow,4
Nagpur,3
Chandigarh,2
Thane,2
Gandhinagar,2
Indore,2
Shahjahanpur,2
Kanpur Dehat,1
Bhopal,1
Dakshin Kannada,1
Mohali,1
Krishna,1
Sonipat,1
Central Delhi,1
Jammu,1
Jodhpur,1
Nashik,1
Krishnagiri,1
Kozhikode,1
Bangalore Rural,1
Sawai Madhopur,1
Jalandhar,1
Madurai,1
