company,count
Tata Consultancy Services,96
Accenture,35
EXL,35
Turing,32
Persistent Systems,30
UPS,26
Amgen,19
HCLTech,18
Virtusa,13
Citigroup,13
LTM,13
Recro,12
Grid Dynamics,11
Fractal Analytics,11
Unknown,11
PricewaterhouseCoopers,11
Codvo.ai,10
KPI Partners,10
NeoGenCode Technologies Pvt Ltd,10
Luxoft India,9
ValueMomentum,9
Adobe,9
Hewlett Packard Enterprise,9
Topcoder,9
Impetus,8
Qrata,8
IntraEdge,8
Synechron,8
Cerebra IT Services Private Limited,7
Acura Solution,7
The Hartford,7
Tech Mahindra,7
Google,7
Weekday AI,7
Neal Analytics,7
Ascendion,6
WELLS FARGO BANK,6
Zensar Technologies,6
S&P Global,6
Capgemini,6
Wissen Technology,6
Deloitte,6
Arcana,6
Quantiphi,6
UST,6
Honeywell,6
MM Staffing & Career Consultants,5
Vrinda International,5
datavruti,5
Capco,5
London Stock Exchange Group,5
Xceedance,5
Fractal,5
JPMorganChase,5
Uplers,5
EliteRecruitments,5
Morningstar,5
LTIMindtree,5
Movate,5
Navi,5
Hunarstreet Technologies Pvt Ltd,5
Zemoso Technologies,5
Talent Pro,4
EdgeVerve,4
Crescendo Global,4
CGI,4
GE Vernova,4
Mantras2Success,4
dentsu,4
Sia,4
Gainwell Technologies LLC,4
Warner Bros. Discovery,4
Insight Global,4
Axtria - Ingenious Insights,4
Multi Recruit,4
TEKsystems Global Services in India,4
Tezo,4
Coforge,4
Media.net,4
Sarvam,4
ACL Digital,4
Merck Sharp Dohme Msd,4
CoffeeBeans,4
Xebia,4
Infosys BPM,4
BMW TechWorks India,4
Searce Inc,4
Applexus Technologies,4
Cradlepoint,4
AB InBev GCC India,3
CONTUS TECH,3
Evnek Technologies Pvt Ltd,3
Ampera Technologies,3
Spector.ai,3
Tredence Inc.,3
In Touch,3
ALIQAN Technologies,3
Two95 International Inc.,3
r3 Consultant,3
Logic Pursuits,3
Peak Hire Solutions,3
Dun & Bradstreet,3
Unnati,3
Ema,3
Papa Johns Global Capability Center,3
Flexera Software,3
Objectways,3
GoTymeX,3
Innefu Labs,3
Altysys,3
Brillio,3
GlobalFoundries,3
Fusemachines,3
Qualcomm,3
The HEINEKEN Company,3
Dar,3
YASH Technologies,3
Alp Consulting Ltd.,3
Genpact India,3
Infosys Finacle,3
Deqode,3
TIFIN FINTECH INDIA,3
RECEX,3
NatWest Group,3
Inovalon,3
Goldman Sachs,3
STATS PERFORM,3
Tiger Analytics,3
Kanerika Inc,3
E Solutions,3
Visa,3
Logic Planet,3
Unico Connect Private Limited,3
BayOne Solutions,3
Concentrix,3
Teradata,3
Artivatic,3
Thakral One,3
Fort Technologies,3
Barclays,3
ChargePoint,2
Srijan Technologies,2
ascendion,2
"o9 Solutions, Inc.",2
Kastech Software Solutions Group,2
"Prudent Technologies and Consulting, Inc.",2
People First Consultants,2
Dexian India,2
Sadup Softech,2
Crystal Peak,2
Bajaj Finance Limited,2
TIGI HR Solution Pvt. Ltd.,2
Infosys,2
EazyML,2
Zolvit ,2
Ebizz Infotech,2
Harman Becker Automotive Systems Manufacturing Kft,2
Seven N Half,2
HyreSpree,2
KPMG India,2
Astek,2
GoML,2
Triomics,2
Calsoft,2
MacroHire,2
Megan Soft Inc,2
Neurealm,2
Amagi Media Labs,2
Wipzo Systech Private Limited,2
Graphene Services Pte Ltd,2
Lloyds Bank,2
Itvedant Education Pvt. Ltd.,2
OEC,2
Fragma Data Systems,2
Jade Global,2
AARC Environmental,2
WebMD,2
Infotel UK,2
Marktine,2
Cohere Health,2
Mitra Innovation,2
Kotak Life,2
People Prime Worldwide,2
Peoplefy Infosolutions,2
Birlasoft,2
Blend,2
EWU,2
Smart Ship Hub,2
Barracuda Networks,2
Jumio,2
ADCI - Karnataka,2
KeyValue,2
Cornerstone onDemand,2
Amazon,2
Bootlabs Technologies Private Limited,2
Calfus Inc.,2
Orange Business,2
McDonald's,2
FM India,2
Valiance Solutions,2
Emirates NBD,2
LearningMate,2
Twixor,2
Byteridge,2
Vistex Career,2
Commonwealth Bank,2
TalentXO,2
Encora,2
ALESAYI HOLDING | العيسائي القابضة,2
GSSTech Group,2
Aspire Systems India Private Limited,2
Natwest Digitalx,2
Fluor,2
Risosu Consulting LLP,2
Euphoric Thought Technologies,2
Walmart,2
AlphaSense,2
Diageo,2
Brahma,2
ParallelDots,2
Sequoia,2
Techwave Consulting India Private,2
Wokelo AI,2
Luxoft,2
Programmers.io,2
NCS Group,2
People Tech Group Inc,2
Photon Group,2
vConstruct Private Limited,2
Jiostar India,2
Infosys Limited,2
Nike,2
IndiHire,2
Airbnb,2
Augury,2
Wabtec Corporation,2
Hireginie,2
enGen Global,2
Cotiviti,2
Stellantis,2
Rakuten Symphony,2
Simform,2
Opella,2
Karix,2
Clarivate,2
Kyndryl,2
InTouch CX,2
Zscaler,2
Innover Systems,2
Publicis Sapient,2
Lorven Technologies Inc.,2
Stellaspire,2
eClerx,2
UnitedHealth Group,2
InfoVision Inc.,2
Jobdost,2
Aceolution India,2
Recruit Square,2
AnandRathi,2
Intellect Design Arena Ltd,2
Fission Labs,2
Tanla Platforms Limited,2
Sagility,2
GreatHR Solutions,2
RapidBrains,2
Albertsons Companies India,2
Innodata Inc.,2
Radiant Digital,2
Red Hat,2
Qubrid AI,2
NielsenIQ,2
Glance,2
UsefulBI Corporation,2
ABB,2
DXC Technology,2
BSR & Co,2
Leading MNC,2
SAP,2
Firstsource,2
Andor Tech,2
Target,2
AI AXISS INC,2
Omni Recruit Private Limited,2
Straive,2
Three Across,2
RELX INC,2
Intuit,2
Dhurin,2
Bandhan Technologies,2
Optum,2
upGrad International,2
Arrowhead,2
PwC Acceleration Center India,2
Nouryon,2
WNS,2
Cadence Systems,2
TekWissen India,2
Trigent Software Private Limited,2
ValueLabs,2
Goldcast,1
Hashone Career,1
"First Tek, Inc.",1
Health Catalyst,1
Shiprocket,1
We Search,1
Expedia,1
NP Group,1
CorroHealth,1
PubMatic,1
BOLD,1
BlinkRx,1
GoAsia Talent,1
NXP Semiconductors,1
Grundfos GmbH,1
Reliance Industries Limited,1
Talent500,1
Pepsico,1
The Digital Loom,1
Analytix-Hub.ai,1
G-P,1
Laundryheap,1
Cytiva Life Science,1
Wohlig Transformations Pvt Ltd,1
Mantras2Success.com,1
EY,1
Smiths Detection,1
OSTTRA,1
Mr. Cooper Group,1
Hirestar job Bank,1
Jefferies Financial Group,1
Pipaltree AI,1
Acumatica,1
Zimmer Biomet,1
Panasonic Avionics Corporation,1
NEC Software Solutions ,1
Mastercard,1
QuantumLoopAI,1
LRN Corporation,1
Prevalent AI,1
True Tech Professionals,1
SII Group India,1
Bloomreach,1
Delta Exchange,1
Stantec,1
Shakudo,1
Voicegain,1
O-Health,1
Maersk,1
Zendesk,1
Virallens,1
SingleInterface,1
TEKNIKOZ,1
Loopio,1
PropStream,1
GoTo Technologies,1
ADCI MAA 15 SEZ - K20,1
Thinqor,1
Foundation SVKM,1
Orion Innovation Naukri,1
Orion Innovation,1
Comcast Corporation,1
GeBBS Healthcare Solutions Inc,1
HID Global Corporation,1
RackAnStack Private Limited,1
MindBrain,1
Adobe Inc,1
Haleon plc,1
ZainTECH,1
Under Armour India,1
Careernet,1
Sutra.AI,1
Suki,1
AlphaSense India,1
Infrrd,1
ShareChat,1
TCS,1
Bill Gosling Outsourcing,1
IMS Group,1
Indium,1
Talentoj,1
WebMD Health Corp,1
Conrad Hong Kong,1
CurieDx,1
Toast,1
IRIS software,1
Gabeo.ai,1
WSP,1
Gapblue Software Labs Pvt Ltd,1
SkySun,1
Caterpillar,1
Shef Solutions Inc.,1
SuperProcure,1
AMINA Group,1
Equitas Small Finance Bank,1
Right Advisors,1
Navrang HR Solutions,1
Leading Client,1
Idexcel,1
ADCI - BLR 14 SEZ - F07,1
Jobgether,1
Airbus,1
Kwality Wall's,1
Providence India,1
Gedu Global,1
IKS Health,1
Evalueserve,1
Highrise Solutions LLP,1
RSPL Group,1
CMMI L5 Company,1
Emids,1
Cognite,1
Takeda,1
Point72,1
ImagineArt,1
Securly,1
Black Duck Software,1
InRhythm,1
Tata Elxsi Limited,1
Amina,1
Aftershoot,1
Leena Ai,1
Blue Yonder,1
Wells Fargo,1
Applied Data Finance,1
Infinit-O,1
NTT,1
Kenvue,1
Delphi Consulting,1
The Cigna Group,1
Programming Com,1
Ion,1
Prorsum Technologies,1
Newtuple Technologies,1
Software Engineering Firm,1
Avoma,1
RivetStays,1
Seceon Inc.,1
Capgemini Engineering,1
Deutsche Börse Group,1
Rockwell Automation,1
IBS Software,1
IntVerse.io,1
BrandSafway,1
dotSolved System Inc.,1
Prescience Decision Solutions,1
The Simpsons,1
Diligentminds,1
Databuzz,1
Redwood Software,1
