product_category,brand,product_name,price,rank,ingredients,skin_type
moisturizer,CeraVe,Moisturizing Cream,16.99,4.7,"Water, Glycerin, Behentrimonium Methosulfate, Cetyl Alcohol, Cetearyl Alcohol, Niacinamide, Petrolatum, Mineral Oil, Dimethicone, Hyaluronic Acid, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Cholesterol, Behentrimonium Methosulfate, Sodium Lauroyl Lactylate, Sodium Hyaluronate, Tocopherol, Phytosphingosine, Xanthan Gum, Citric Acid, Sodium Citrate, Disodium EDTA, Methylparaben, Propylparaben, Phenoxyethanol",dry|normal|sensitive
moisturizer,Neutrogena,Hydro Boost Water Gel,24.99,4.5,"Water, Dimethicone, Glycerin, Dimethicone/Vinyl Dimethicone Crosspolymer, Phenoxyethanol, Carbomer, Sodium Hyaluronate, Dimethiconol, Sodium Hydroxide, Chlorphenesin",dry|oily|combination|normal
moisturizer,La Roche-Posay,Toleriane Double Repair Face Moisturizer,21.99,4.6,"Water, Glycerin, Niacinamide, Dimethicone, Ceramide-3, Ceramide-6 II, Ceramide-1, Hyaluronic Acid, Shea Butter, Carbomer, Xanthan Gum, Squalane, Panthenol, Tocopherol, Sodium Lauroyl Lactylate, Cholesterol, Disodium EDTA, Sodium Hydroxide",sensitive|dry|normal
moisturizer,Olay,Regenerist Micro-Sculpting Cream,28.99,4.4,"Water, Glycerin, Niacinamide, Dimethicone, Palmityl Oligopeptide, Palmityl Tetrapeptide-7, Carbomer, Hydrolyzed Wheat Protein, PEG-100 Stearate, Glycol Stearate, Panthenol, Sodium Hydroxide, Disodium EDTA, Titanium Dioxide, Fragrance",normal|combination|dry
moisturizer,The Ordinary,Natural Moisturizing Factors + HA,9.90,4.3,"Aqua, Glycerin, Urea, Arginine, Aspartic Acid, PCA, Glycine, Alanine, Serine, Valine, Proline, Threonine, Isoleucine, Histidine, Phenylalanine, Glucose, Maltose, Fructose, Trehalose, Sodium PCA, Sodium Lactate, Fructooligosaccharides, Urocanic Acid, Phospholipids, Glycolipids, Ceramide NP, Hyaluronic Acid, Dimethyl Isosorbide, Allantoin, Tocopherol, Ferulic Acid, Carbomer, Isoceteth-20, Polysorbate 60, Sodium Hydroxide",dry|normal|sensitive
moisturizer,Vanicream,Moisturizing Skin Cream,13.99,4.6,"Purified Water, White Petrolatum, Sorbitol, Cetearyl Alcohol, Propylene Glycol, Ceteareth-20, Simethicone, Glyceryl Monostearate, Polyoxyl 40 Stearate, Sorbic Acid",dry|sensitive|normal
moisturizer,Eucerin,Original Healing Cream,11.49,4.5,"Water, Petrolatum, Mineral Oil, Cetearyl Alcohol, Ceteareth-20, Dimethicone, Glycerin, Urea, Lanolin Alcohol, Sodium Lactate, Sodium PCA, Panthenol, Tocopheryl Acetate",dry|normal
moisturizer,Aveeno,Daily Moisturizing Lotion,9.97,4.4,"Active Naturals Colloidal Oatmeal, Water, Glycerin, Distearyldimonium Chloride, Petrolatum, Isopropyl Palmitate, Cetyl Alcohol, Dimethicone, Avena Sativa Kernel Flour, Benzyl Alcohol, Sodium Chloride",dry|sensitive|normal
serum,The Ordinary,Niacinamide 10% + Zinc 1%,5.90,4.5,"Aqua, Niacinamide, Pentylene Glycol, Zinc PCA, Dimethyl Isosorbide, Tamarindus Indica Seed Gum, Xanthan gum, Isoceteth-20, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin",oily|combination|normal
serum,Paula's Choice,10% Niacinamide Booster,44.00,4.6,"Water, Niacinamide, Panthenol, Glycerin, Acetyl Glucosamine, Sodium Hyaluronate, Licorice Root Extract, Allantoin, Sodium PCA, Retinol, Tocopherol, Ferulic Acid, Adenosine, Undecylenoyl Phenylalanine, Carbomer, Sodium Hydroxide, Phenoxyethanol",normal|combination|sensitive
serum,Inkey List,Niacinamide Serum,7.99,4.3,"Aqua, Niacinamide, Glycerin, Zinc PCA, Pentylene Glycol, Sodium Hyaluronate, Tamarindus Indica Seed Gum, Allantoin, Xanthan Gum, Phenoxyethanol, Chlorphenesin",oily|combination|normal
serum,Good Molecules,Niacinamide Serum,8.00,4.4,"Water, Niacinamide, Pentylene Glycol, Glycerin, Propanediol, Sodium Hyaluronate, Zinc PCA, Betaine, Allantoin, Xanthan Gum, Chlorphenesin, Phenoxyethanol",oily|normal|combination
serum,Skinceuticals,C E Ferulic,182.00,4.8,"Water, Ethoxydiglycol, Ascorbic Acid, Glycerin, Propylene Glycol, Laureth-23, Phenoxyethanol, Tocopherol, Triethanolamine, Ferulic Acid, Panthenol, Sodium Hyaluronate",normal|dry|combination
serum,TruSkin,Vitamin C Serum,22.99,4.4,"Organic Aloe Barbadensis Leaf Juice, Aqua, Sodium Ascorbyl Phosphate, Organic Rosehip Seed Oil, Vitamin E, Witch Hazel, Hyaluronic Acid, Retinol, Niacinamide, Peptide Complex, Glutathione",normal|dry|combination
serum,Mad Hippie,Vitamin C Serum,33.99,4.3,"Water, Sodium Ascorbyl Phosphate, Ferulic Acid, Vitamin E, Konjac Root, Clary Sage Extract, Chamomile Extract, Astaxanthin, Hyaluronic Acid, Coenzyme Q10",sensitive|normal|dry
serum,Timeless,20% Vitamin C + E Ferulic Acid Serum,24.95,4.5,"Water, Ethoxydiglycol, Ascorbic Acid, Propylene Glycol, Tocopherol, Polysorbate 80, Panthenol, Ferulic Acid, Sodium Hyaluronate",normal|combination|dry
serum,The Ordinary,Hyaluronic Acid 2% + B5,9.80,4.4,"Aqua, Sodium Hyaluronate, Panthenol, Sodium Hyaluronate Crosspolymer, Propanediol, Pentylene Glycol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Carbomer, Tromethamine, Ethylhexylglycerin, Phenoxyethanol, Caprylyl Glycol",dry|normal|sensitive
